conc_parties,company_id,company_date,company_name,company_person_name,pep_menbership_role,pep_organization_name
"""12 - STONY LDA""",32058,20 de Maio de 2008,"12 - Stony, Limitada",Daniel Ginat,,
"""12 - STONY LDA""",32058,20 de Maio de 2008,"12 - Stony, Limitada",Michael Leshem,,
"""12 - STONY LDA""",70940,01 de Setembro de 2014,"12 Stony, Limitada",Zaheer Abdul Rahimo,,
"A & RD, Lda ",39187,10 de Novembro de 2009,"A&RD, Limitada",Agostinho Jordão Barreira Diogo,,
"A & RD, Lda ",39187,10 de Novembro de 2009,"A&RD, Limitada",Rosa do Bem Pereira Diogo,,
"ABM Resources Moçambique, Lda",51384,10 de Fevereiro de 2012,"ABM Resources Moçambique, Limitada",José Carlos Jóia da Silva Santos,,
"ABM Resources Moçambique, Lda",51384,10 de Fevereiro de 2012,"ABM Resources Moçambique, Limitada",Nilton César Mateus Ngoca,,
"AC, Sociedade Unipessoal, Limitada",48098,23 de Agosto de 2011,"AC, Sociedade Unipessoal, Limitada",Augusto Alberto da Silva Chirindza,,
"Acacia Mineracao, Lda",40561,19 de Março de 2010,"Acácia Mineração, Limitada",Max Miguel Manuel Keenoy,,
"Acacia Mineracao, Lda",61802,12 de Julho de 2013,"Acácia Mineração, Limitada",Moriel Wojtyla Levy,,
"Acacia Mineracao, Lda",61802,12 de Julho de 2013,"Acácia Mineração, Limitada",Samuel Jay Levy,,
"Acosterras Mocambique, Lda",19753,11 de Junho de 2004,"Acosterras Moçambique, Limitada",Daniel Jerónimo Paiva dos Santos Cardoso,,
"Acosterras Mocambique, Lda",19753,11 de Junho de 2004,"Acosterras Moçambique, Limitada",Manuel Fernando da Cunha Costa,,
"Acosterras Mocambique, Lda",26459,16 de Outubro de 2006,"Acosterras Moçambique, Limitada",Sandra Rute da Silva Teixeira Cardoso,,
Actinote Mining Co.Limitada,32344,09 de Julho de 2008,"Actinote Mining Co, Limitada",Hu Zenghui,,
Actinote Mining Co.Limitada,30022,09 de Julho de 2008,Actinote Mining Co. Limitada,Hua Xiaohui,,
Actinote Mining Co.Limitada,32344,09 de Julho de 2008,"Actinote Mining Co, Limitada",Li Wujie,,
Actinote Mining Co.Limitada,30022,30 de Novembro de 2007,Actinote Mining Co. Limitada,Liao Liugen,,
Actinote Mining Co.Limitada,30022,30 de Novembro de 2007,Actinote Mining Co. Limitada,Luo Xiaochuan,,
Actinote Mining Co.Limitada,30022,09 de Julho de 2008,Actinote Mining Co. Limitada,Wang Xianguang,,
"Africa Agri Minerais Sociedade Unipessoal, Lda (0,00%)",47664,04 de Maio de 2011,"África Agri Minerais Sociedade Unipessoal, Limitada",Marc Paul Lindsay,,
"África Austral Mineração, Lda",25684,11 de Maio de 2006,"África Austral Mineração, Limitada",Julian Peter Ford,,
"Africa Exploration, Lda ",52613,10 de Maio de 2012,"Africa Exploration, Limitada",Fatimabay Amirali Kassamali Malú,,
"Africa Exploration, Lda ",52613,10 de Maio de 2012,"Africa Exploration, Limitada",Sérgio José Camunga Pantie,,
"Africa Exploration, Lda ",52613,10 de Maio de 2012,"Africa Exploration, Limitada",Zahid Ahmedali Bandali,,
"África Great Wall Mining Development Company, Limitada ",28550,04 de Julho de 2007,"África Great Wall Mining Development Company, Limitada",Cong Chuanyou,,
"África Great Wall Mining Development Company, Limitada ",28550,04 de Julho de 2007,"África Great Wall Mining Development Company, Limitada",Wu Tao,,
"Africa Oriental Mineral Sociedade Unipessoal, Lda (0,00%)",47537,28 de Junho de 2011,"África Oriental Mineral, Sociedade Unipessoal, Limitada",Fuwei Cao,,
"Africa Rare Metal Mining Development Co, Lda ",46411,06 de Maio de 2011,"Africa Rare Metal Mining Development Co, Limitada",Li Jianhong,,
"Africa Rare Metal Mining Development Co, Lda ",46411,06 de Maio de 2011,"Africa Rare Metal Mining Development Co, Limitada",Zhou Wencui,,
"Africa Ventures, Lda",30912,10 de Março de 2008,"Africa Ventures, Limitada",Sumit Agrawal,,
"Africa Ventures, Lda",30912,10 de Março de 2008,"Africa Ventures, Limitada",Tushar Agrawal,,
"Africa Yuxiao Mining Development Company, Limitada ",34638,10 de Setembro de 2014,"África Yuxiao Mining Development Company, Limitada",Chuanyou Cong,,
African Gemstone Limitada,21913,12 de Abril de 2005,"African Gemstone, Limitada",Bouyagui Sissoko,,
African Gemstone Limitada,21913,12 de Abril de 2005,"African Gemstone, Limitada",Tina Luís Mofate,,
"African Stellar Mozambique, Limitada ",49937,25 de Novembro de 2011,"African Stellar Mozambique, Limitada",Errol John Smart,,
"African Stellar Mozambique, Limitada ",49937,25 de Novembro de 2011,"African Stellar Mozambique, Limitada",Jeffrey Robert Allan,,
"African Stellar Mozambique, Limitada ",49937,25 de Novembro de 2011,"African Stellar Mozambique, Limitada",Tiago Paz Sabino,,
"Africola, Lda",23519,14 de Outubro de 2005,"Africola, Limitada",Nuno Miguel da Silva Vieira,,
"Afrifocus Resources, Limitada ",31517,07 de Novembro de 2007,"Afrifocus Resources, Limitada",Egídio Lúcia Caetano José Madeira,,
"Afrifocus Resources, Limitada ",31517,07 de Novembro de 2007,"Afrifocus Resources, Limitada",Lian Chen,,
"Afrifocus Resources, Limitada ",31517,07 de Novembro de 2007,"Afrifocus Resources, Limitada",Zhiwei Zhong,,
"Afriminerals, Limitada",43488,24 de Setembro de 2010,"Afriminerals, Limitada",Christiaan Luyt Jordaan,,
"Afriminerals, Limitada",43488,24 de Setembro de 2010,"Afriminerals, Limitada",Gert Daniel Pienaar,,
"Afritex Gemas, Lda ",58848,04 de Março de 2013,"Afritex Gemas, Limitada",Aissa Carmen da Silva Aiúba,,
"Afritex Gemas, Lda ",58848,04 de Março de 2013,"Afritex Gemas, Limitada",Isack Vicente Chiona Lipoche,,
"Afritex Gemas, Lda ",58848,04 de Março de 2013,"Afritex Gemas, Limitada",Lino Joaquim Hama,,
"Afritex Gemas, Lda ",58848,04 de Março de 2013,"Afritex Gemas, Limitada",Mateus Óscar Kida Júnior,,
