PL NO.,COMPANY,COMMODITY,STATUS,EXPIRY DATE,AREA,MINERAL RIGHT,AREA ORIG
PL056/2014,Henan Yukuang Mining Company (Pty) Ltd,"Base, Precious & PGMs",Original,20171231,347.00,Metals,347.00
PL047/2014,Henan Yukuang Mining Company (Pty) Ltd,"Base, Precious & PGMs",Original,20171231,399.00,Metals,399.00
PL054/2014,Henan Yukuang Mining Company (Pty) Ltd,"Base, Precious & PGMs",Original,20171231,402.80,Metals,402.80
PL050/2014,Henan Yukuang Mining Company (Pty) Ltd,"Base, Precious & PGMs",Original,20171231,405.20,Metals,405.20
PL044/2014,Henan Yukuang Mining Company (Pty) Ltd,"Base, Precious & PGMs",Original,20171231,437.00,Metals,437.00
PL049/2014,Henan Yukuang Mining Company (Pty) Ltd,"Base, Precious & PGMs",Original,20171231,441.50,Metals,441.50
PL046/2014,Henan Yukuang Mining Company (Pty) Ltd,"Base, Precious & PGMs",Original,20171231,455.40,Metals,455.40
PL055/2014,Henan Yukuang Mining Company (Pty) Ltd,"Base, Precious 8i PGMs",Original,20171231,470.00,Metals,470.00
PL051/2014,Henan Yukuang Mining Company (Pty) Ltd,"Base, Precious & PGMs",Original,20171231,472.60,Metals,472.60
PL045/2014,Henan Yukuang Mining Company (Pty) Ltd,"Base, Precious & PGMs",Original,20171231,507.00,Metals,507.00
PL041/2014,Henan Yukuang Mining Company (Pty) Ltd,"Base, Precious & PGMs",Original,20171231,541.20,Metals,541.20
PL052/2014,Henan Yukuang Mining Company (Pty) Ltd,"Base, Precious & PGMs",Original,20171231,543.30,Metals,543.30
PL057/2014,Henan Yukuang Mining Company (Pty) Ltd,"Base, Precious & PGMs",Original,20171231,597.70,Metals,597.70
PL053/2014,Henan Yukuang Mining Company (Pty) Ltd,"Base, Precious & PGMs",Original,20171231,618.00,Metals,618.00
PL043/2014,Henan Yukuang Mining Company (Pty) Ltd,"Base, Precious & PGMs",Original,20171231,638.90,Metals,638.90
PL048/2014,Henan Yukuang Mining Company (Pty) Ltd,"Base, Precious & PGMs",Original,20171231,643.40,Metals,643.40
PL058/2014,Henan Yukuang Mining Company (Pty) Ltd,"Base, Precious & PGMs",Original,20171231,656.20,Metals,656.20
PL016/2014,Impact Minerals (Pty) Ltd,"Base, Precious & PGMs",Original,20171231,685.40,Metals,685.40
PL042/2014,Henan Yukuang Mining Company (Pty) Ltd,"Base, Precious & PGMs",Original,20171231,696.60,Metals,696.60
PL017/2014,Impact Minerals (Pty) Ltd,"Base, Precious & PGMs",Original,20171231,"1,000.00",Metals,"1,000.00"
PL424/2014,Majuthomi Mineral Resources (Pty) Ltd,"Base, Precious & PGMs",New Application,20170930,163.70,Metals,163.70
PL473/2014,Rio Tinto Mining and Exploration,Base Metal,Original,20170930,218.00,Metal,218.00
PL426/2014,Majuthomi Mineral Resources (Pty) Ltd,"Base, Precious & PGMs",New Application,20170930,238.00,Metals,238.00
PL425/2014,Majuthomi Mineral Resources (Pty) Ltd,"Base, Precious & PGMs",New Application,20170930,286.00,Metals,286.00
PL365/2014,AQB Geological Systems and Services (Pty) Ltd,Precious Stones,New,20170930,291.80,,291.80
PL348/2014,Jacana Resources (Pty) Ltd,Radioactive,Original,20170930,394.00,Radioactive Minerals,394.00
PL317/2014,Line Energy LTD,Coal and Coalbed Methane,Original,20170930,485.00,Energy,485.00
PL347/2014,Jacana Resources (Pty) Ltd,Radioactive,Original,20170930,744.00,Radioactive Minerals,744.00
PL428/2014,CGC Botswana,Base Metal,Original,20170930,767.90,Metals,767.90
PL350/2014,Syrah Resources (Pty) Ltd,Radioactive Minerals,Original,20170930,847.00,Radioactive Minerals,847.00
PL349/2014,Syrah Resources (Pty) Ltd,Radioactive Minerals,Original,20170930,864.00,Radioactive Minerals,864.00
PL315/2014,Line Energy LTD,Coal and Coalbed Methane,Original,20170930,923.00,Energy,923.00
PL316/2014,Line Energy LTD,Coal and Coalbed Methane,Original,20170930,923.00,Energy,923.00
PL318/2014,Line Energy LTD,Coal and Coalbed Methane,Original,20170930,986.00,Energy,986.00
PL308/2014,Sechaba Natural Resources (Pty) Ltd,Coal,Original,20170930,989.30,Energy,989.30
PL293/2014,Tilwane Services (Pty) Ltd,Precious Stones,Original,20170630,22.40,,22.40
PL411/2014,AQB Geologging Systems and Services (Pty) Ltd,"Base, Precious & PGMs",Original,20170630,96.90,Metals,96.90
PL279/2014,Azimuh Investment (Pty) Ltd,Base Metal,Original,20170630,103.90,Metals,103.90
PL410/2014,AQB Geologging Systems and Services (Pty) Ltd,"Base, Precious & PGMs",Original,20170630,106.70,Metals,106.70
PL280/2014,MOD Resources Botswana (PTY) Ltd,Base Metal,Original,20170630,116.00,Metals,116.00
PL248/2014,Kavango Minerals(PTY)Ltd,Base Metal,Original,20170630,192.00,Metal,192.00
PL302/2014,Kavango Minerals(PTY)Ltd,Base Metal,New,20170630,230.00,Metals,230.00
PL282/2014,Capitaviting Ventures,Base Metal,Original,20170630,303.80,Metal,303.80
PL284/2014,Capitaviting Ventures,Base Metal,Original,20170630,363.70,Metal,363.70
PL01/07/2014,Greatways Properties (Pty) Ltd,Coal and Coalbed Methane,Original,20170630,415.00,Energy,415.00
PL414/2014,AQB Geologging Systems and Services (Pty) Ltd,"Base, Precious & PGMs",New Application,20170630,538.10,Metals,538.10
PL356/2014,Greatways Properties (Pty) Ltd,Coal and Coalbed Methane,Original,20170630,542.00,Energy,542.00
PL283/2014,Matsitama Minerals (PTY) Ltd,Base Metal,Original,20170630,554.80,Metals,554.80
PL267/2014,Capitaviting Ventures,Base Metal,Origional,20170630,620.00,Metals,620.00
PL285/2014,Capitaviting Ventures,Base Metals,Original,20170630,621.50,Metal,621.50
PL268/2014,Capitaviting Ventures,Base Metal,Origional,20170630,647.00,Metals,647.00
PL274/2014,Capitaviting Ventures,Base Metal,Origional,20170630,667.70,Metals,667.70
PL281/2014,Capitaviting Ventures,Base Metals,Original,20170630,684.70,Metals,684.70
PL261/2014,Capitaviting Ventures,Base Metals,Original,20170630,748.00,Metals,748.00
PL234/2014,Tlou Energy Solutions (Pty) Ltd,Coal & Coalbed Methane,Original,20170630,827.00,Energy,827.00
PL415/2014,AQB Geologging Systems and Services (Pty) Ltd,"Base, Precious & PGMs",New Application,20170630,837.20,Metals,837.20
PL241/2014,Tlou Energy Solutions (Pty) Ltd,Coal & Coalbed Methane,Original,20170630,873.00,Energy,873.00
PL240/2014,Tlou Energy Solutions (Pty) Ltd,Coal & Coalbed Methane,Original,20170630,885.00,Energy,885.00
PL200/2014,Quardron Investments (Pty) Ltd,Precious Stones,Original,20170630,923.00,,923.00
PL237/2014,Tlou Energy Solutions (Pty) Ltd,Coal & Coalbed Methane,Original,20170630,958.00,Energy,958.00
PL239/2014,Tlou Energy Solutions (Pty) Ltd,Coal & Coalbed Methane,Original,20170630,964.00,Energy,964.00
PL269/2014,Capitaviting Ventures,Base Metal,Origional,20170630,966.00,Metals,966.00
PL270/2014,Manica Mineraks Limited,Precious Stones,Original,20170630,"1,000.00",,"1,000.00"
PL272/2014,Manica Mineraks Limited,Precious Stones,Original,20170630,"1,000.00",,"1,000.00"
PL273/2014,Manica Mineraks Limited,Precious Stones,Original,20170630,"1,000.00",,"1,000.00"
PL277/2013,Manica Mineraks Limited,Precious Stones,Original,20170331,20.40,,20.40
PL204/2014,MOD Resources Botswana (Pty) Ltd,"Base, Precious & PGMs",Original,20170331,70.80,Metals,70.80
