parties_norm,parties_match,code,objectid,parties,archived,type,statusgrp,status,areaunit,layer_id,mapref,typeabb,part,layer_name,dtestart,areavalue,jurisdic,respoffice,name,region,summary,subtype,resources,stragreementconditionsjson,dtegranted,applno,typegroup,dtepegged,codeconcat,renewal,acccode,comments,interest,dteapplied,typecode,dteexpires,dterenewal,oldcode,resourcescd,operador,company,con_type,area_km,location,concession,operador_l,shape_leng,nomes,fc_id,objectid_1,source_name
"DH Mining Development, Co, Limitada","DH Mining Development, Co, Limitada",6204,1262172,"DH Mining Development Company, Lda ",,Licença de Prospecção e Pesquisa,Pedido,Aprovação Pendente,Hectare,3,"NAMPULA, MONAPO, ITOCULO",,Parte 1,Licença de Prospecção e Pesquisa,,1137.55,Moçambique,Maputo Cidade,,,,,"DS, SIL",,,,Pesquisa,,6204 L,,,,Pessoa Colectiva,2013-03-18,L,,,,"DS, SIL",,,,,,,,,,,,MZ
"Tayob Ibrahim e Co., Limitada","Tayob Ibrahim e Co., Limitada",4798,1263232,Tayob Ebrahim Omar,,Licença de Prospecção e Pesquisa,Em Vigor,Em Vigor,Hectare,3,"NIASSA, LAGO, COBUE; SANGA, MACALOGE, MATCHEDJE",,Parte 1,Licença de Prospecção e Pesquisa,,23580,Moçambique,Maputo Cidade,4798L,,,,COA,,2013-11-21,,Pesquisa,,4798 L,0,,,Pessoa Singular,2011-10-11,L,2018-11-21,,,COA,,,,,,,,,,,,MZ
"IGL - International Gems, Limitada","IGL - International Gems, Limitada",6976,1263598,"IGL-INTERNATIONAL GEMS, LDA ",,Licença de Prospecção e Pesquisa,Pedido,Aprovação Pendente,Hectare,3,"MANICA, MACOSSA, NGUAWALA",,Parte 1,Licença de Prospecção e Pesquisa,,500,Moçambique,Maputo Cidade,,,,,AU,,,,Pesquisa,,6976 L,,,,Pessoa Colectiva,2014-03-14,L,,,,AU,,,,,,,,,,,,MZ
"Mary Serviços, Limitada","Mary Serviços, Limitada",6412,1263879,"MARY SERVIÇOS, LDA ",,Licença de Prospecção e Pesquisa,Pedido,Aprovação Pendente,Hectare,3,"MANICA, TAMBARA, BAZUA, NHACOLO",,Parte 1,Licença de Prospecção e Pesquisa,,21697.83,Moçambique,Manica,,,,,AUM,,,,Pesquisa,,6412 L,,,,Pessoa Colectiva,2013-06-20,L,,,,AUM,,,,,,,,,,,,MZ
"Tramincorp Delta, Limitada","Tramincorp Delta, Limitada",6016,1264223,"TRAMINCORP DELTA,Limitada ",,Licença de Prospecção e Pesquisa,Em Vigor,Em Vigor,Hectare,3,"NIASSA, MAJUNE, MALANGA; MUEMBE, MUEMBE",,Parte 1,Licença de Prospecção e Pesquisa,,24770.38,Moçambique,Maputo Cidade,,,,,AUM,,2014-09-23,,Pesquisa,,6016 L,0,,,Pessoa Colectiva,2012-12-26,L,2019-09-23,,,AUM,,,,,,,,,,,,MZ
"China-Mozambique Cement & Mining Development. Company, Limitada","China-Mozambique Cement & Mining Development. Company, Limitada",4567,1264929,"China-Mozambique Cement Mining Development Company, Lda",,Licença de Prospecção e Pesquisa,Pedido,Atribuição Pendente,Hectare,3,"SOFALA, BUZI, BUZI; NHAMATANDA, NHAMATANDA",,Parte 1,Licença de Prospecção e Pesquisa,,2760,Moçambique,Maputo Cidade,4567L,,,,LST,,2015-01-29,,Pesquisa,,4567 L,0,,,Pessoa Colectiva,2011-06-22,L,2020-01-29,,,LST,,,,,,,,,,,,MZ
MM-Manica Minerals Limitada,MM-Manica Minerals Limitada,3125,1257946,"Manica Minerals ( Mozambique), Limitada",,Licença de Reconhecimento,Extinto,Cancelado,Hectare,6,,,Parte 1,Todas Licenças Extinto,,297940,Moçambique,Maputo,3125R,,,,"Minerais Associados, Ouro, Prata",,,,Pesquisa,,3125 R,,,,Pessoa Colectiva,2008-09-09,R,,,,"AG, AU, MI",,,,,,,,,,,,MZ
"Sopir Moçambique, Limitada","Sopir Moçambique, Limitada",6485,1263793,SOPIR MOCAMBIQUE  ,,Certificado Mineiro,Em Vigor,Em Vigor,Hectare,2,"NIASSA, MECANHELAS, CHIUTA",,Parte 1,Certificado Mineiro,,413.96,Moçambique,Nampula,,,,,STO,,2013-08-07,,Exploração,,6485 CM,0,,,Pessoa Colectiva,2013-07-30,CM,2015-08-07,,,STO,,,,,,,,,,,,MZ
"SONIL - Sociedade do Niassa, Limitada","SONIL - Sociedade do Niassa, Limitada",4854,1265222,SONIL -Sociedade do Niassa,,Certificado Mineiro,Em Vigor,Em Vigor,Hectare,2,"NAMPULA, NACALA-A-VELHA, NACALA-A-VELHA",,Parte 1,Certificado Mineiro,,20.69,Moçambique,Maputo Cidade,4854CM,,,,SAN,,2014-09-09,,Exploração,,4854 CM,0,,,Pessoa Colectiva,2011-10-24,CM,2016-09-09,,,SAN,,,,,,,,,,,,MZ
"PAN African Engineering & Mining, Limitada","PAN African Engineering & Mining, Limitada",6947,1264600,"PAF, Lda ",,Certificado Mineiro,Pedido,Atribuição Pendente,Hectare,2,"MANICA, MANICA, VANDUZI",,Parte 1,Certificado Mineiro,,121.32,Moçambique,Manica,,,,,GR,,2014-12-12,,Exploração,,6947 CM,0,,"No que se refere a regularização dos direitos adiquiridos aluz do art. 14/2002, de 26 de Junho, foi autorizado a abtencao dos novos direitos preconizados no Lei 20/2014 de 18 de Agosto, do artigo 86. A Gov. da Provincia, autoriza atravez da nota nº 2412 GOM GG 090  DATADO NO DIA 10 12 2014, para a sua regularização para 10 anos.",Pessoa Colectiva,2014-03-11,CM,2024-12-12,,,GR,,,,,,,,,,,,MZ
