conc_layer_name,conc_name,conc_parties,company_id,company_name,company_person_name,pep_given_name,pep_family_name,pep_menbership_role,pep_organization_name
Licença de Prospecção e Pesquisa,,"Coal Min Mozambique, Lda. ",60556,"Coal Min Mozambique, Limitada",Deolinda Guezimane,Deolinda,Guezimane,member,Central Committee
Licença de Prospecção e Pesquisa,2823L,"Minerais de Moçambique, Lda",37357,"Minerais de Moçambique, Limitada",Ganha Ah Kom,Ganha,Ah Khom,member,Central Committee
Licença de Prospecção e Pesquisa,2823L,"Minerais de Moçambique, Lda",37356,"Minerais de Moçambique, Limitada",Ganha Ah Kom,Ganha,Ah Khom,member,Central Committee
Licença de Prospecção e Pesquisa,2981L,"Minerais de Moçambique, Lda",37357,"Minerais de Moçambique, Limitada",Ganha Ah Kom,Ganha,Ah Khom,member,Central Committee
Licença de Prospecção e Pesquisa,2981L,"Minerais de Moçambique, Lda",37356,"Minerais de Moçambique, Limitada",Ganha Ah Kom,Ganha,Ah Khom,member,Central Committee
Licença de Prospecção e Pesquisa,2982L,"Minerais de Moçambique, Lda",37357,"Minerais de Moçambique, Limitada",Ganha Ah Kom,Ganha,Ah Khom,member,Central Committee
Licença de Prospecção e Pesquisa,2982L,"Minerais de Moçambique, Lda",37356,"Minerais de Moçambique, Limitada",Ganha Ah Kom,Ganha,Ah Khom,member,Central Committee
Licença de Prospecção e Pesquisa,,"Coal Min Mozambique, Lda. ",60556,"Coal Min Mozambique, Limitada",Deolinda Guezimane,Deolinda,Guezimane,member,Central Committee
Licença de Prospecção e Pesquisa,,"Coal Min Mozambique, Lda. ",60556,"Coal Min Mozambique, Limitada",Deolinda Guezimane,Deolinda,Guezimane,member,Central Committee
Licença de Prospecção e Pesquisa,,"Coal Min Mozambique, Lda. ",60556,"Coal Min Mozambique, Limitada",Deolinda Guezimane,Deolinda,Guezimane,member,Central Committee
Licença de Prospecção e Pesquisa,,"MAB MINING, LIMITADA ",57687,"MAB Mining, Limitada",Morais Mabyeka,Morais,Mabyeka,member,Central Committee
Licença de Prospecção e Pesquisa,,"Coal Min Mozambique, Lda. ",60556,"Coal Min Mozambique, Limitada",Deolinda Guezimane,Deolinda,Guezimane,member,Central Committee
Licença de Prospecção e Pesquisa,,"Coal Min Mozambique, Lda. ",60556,"Coal Min Mozambique, Limitada",Deolinda Guezimane,Deolinda,Guezimane,member,Central Committee
Licença de Prospecção e Pesquisa,1418L,"Sistemas de Energias de Moçambique, Limitada ",51341,"Sistemas de Energias de Moçambique, Limitada",Marina Pachinuapa,Marina,Pachinuapa,member,Central Committee
Licença de Prospecção e Pesquisa,1418L,"Sistemas de Energias de Moçambique, Limitada ",51341,"Sistemas de Energias de Moçambique, Limitada",Marina Pachinuapa,Marina,Pachinuapa,___,National Consul of Defense and Safety
Licença de Prospecção e Pesquisa,,"Coal Min Mozambique, Lda. ",60556,"Coal Min Mozambique, Limitada",Deolinda Guezimane,Deolinda,Guezimane,member,Central Committee
Licença de Prospecção e Pesquisa,,"Coal Min Mozambique, Lda. ",60556,"Coal Min Mozambique, Limitada",Deolinda Guezimane,Deolinda,Guezimane,member,Central Committee
Licença de Prospecção e Pesquisa,,"Coal Min Mozambique, Lda. ",60556,"Coal Min Mozambique, Limitada",Deolinda Guezimane,Deolinda,Guezimane,member,Central Committee
Licença de Prospecção e Pesquisa,2980L,"Minerais de Moçambique, Lda",37357,"Minerais de Moçambique, Limitada",Ganha Ah Kom,Ganha,Ah Khom,member,Central Committee
Licença de Prospecção e Pesquisa,2980L,"Minerais de Moçambique, Lda",37356,"Minerais de Moçambique, Limitada",Ganha Ah Kom,Ganha,Ah Khom,member,Central Committee
Licença de Prospecção e Pesquisa,2983L,"Minerais de Moçambique, Lda",37357,"Minerais de Moçambique, Limitada",Ganha Ah Kom,Ganha,Ah Khom,member,Central Committee
Licença de Prospecção e Pesquisa,2983L,"Minerais de Moçambique, Lda",37356,"Minerais de Moçambique, Limitada",Ganha Ah Kom,Ganha,Ah Khom,member,Central Committee
Licença de Prospecção e Pesquisa,2984L,"Minerais de Moçambique, Lda",37357,"Minerais de Moçambique, Limitada",Ganha Ah Kom,Ganha,Ah Khom,member,Central Committee
Licença de Prospecção e Pesquisa,2984L,"Minerais de Moçambique, Lda",37356,"Minerais de Moçambique, Limitada",Ganha Ah Kom,Ganha,Ah Khom,member,Central Committee
Licença de Prospecção e Pesquisa,,"Coal Min Mozambique, Lda. ",60556,"Coal Min Mozambique, Limitada",Deolinda Guezimane,Deolinda,Guezimane,member,Central Committee
Licença de Prospecção e Pesquisa,,"Coal Min Mozambique, Lda. ",60556,"Coal Min Mozambique, Limitada",Deolinda Guezimane,Deolinda,Guezimane,member,Central Committee
Licença de Prospecção e Pesquisa,,"Coal Min Mozambique, Lda. ",60556,"Coal Min Mozambique, Limitada",Deolinda Guezimane,Deolinda,Guezimane,member,Central Committee
Licença de Prospecção e Pesquisa,,"MAB MINING, LIMITADA ",57687,"MAB Mining, Limitada",Morais Mabyeka,Morais,Mabyeka,member,Central Committee
Todas Licenças Extinto,,"Coal Min Mozambique, Lda. ",60556,"Coal Min Mozambique, Limitada",Deolinda Guezimane,Deolinda,Guezimane,member,Central Committee
Todas Licenças Extinto,2988L,"Minerais de Moçambique, Lda",37357,"Minerais de Moçambique, Limitada",Ganha Ah Kom,Ganha,Ah Khom,member,Central Committee
Todas Licenças Extinto,2988L,"Minerais de Moçambique, Lda",37356,"Minerais de Moçambique, Limitada",Ganha Ah Kom,Ganha,Ah Khom,member,Central Committee
Certificado Mineiro,,"JOCAPA, LIMITADA ",38231,"Jocapa, Limitada",Amelia Franklim,Amélia,Franklin,member,Central Committee
