conc_layer_name,conc_name,conc_parties,company_id,company_name,company_person_name,pep_given_name,pep_family_name,pep_menbership_role,pep_organization_name
Certificado Mineiro,,"JOCAPA, LIMITADA ",38231,"Jocapa, Limitada",Amelia Franklim,Amélia,Franklin,member,Central Committee
Concessão Mineira,3873C,"Mota Mineral Moçambique, Lda",58108,"Mota Mineral Moçambique, Limitada",,,....,Embassada,Indonésia Embassy
Concessão Mineira,3873C,"Mota Mineral Moçambique, Lda",58108,"Mota Mineral Moçambique, Limitada",,,,Vice-President,Supreme Court
Concessão Mineira,3873C,"Mota Mineral Moçambique, Lda",58108,"Mota Mineral Moçambique, Limitada",,,,,
Concessão Mineira,3874C,"Mota Mineral Moçambique, Lda",58108,"Mota Mineral Moçambique, Limitada",,,....,Embassada,Indonésia Embassy
Concessão Mineira,3874C,"Mota Mineral Moçambique, Lda",58108,"Mota Mineral Moçambique, Limitada",,,,Vice-President,Supreme Court
Concessão Mineira,3874C,"Mota Mineral Moçambique, Lda",58108,"Mota Mineral Moçambique, Limitada",,,,,
Concessão Mineira,,"Tazetta Resources, Limitada ",41678,"Tazetta Resources, Limitada",,,....,Embassada,Indonésia Embassy
Concessão Mineira,,"Tazetta Resources, Limitada ",41678,"Tazetta Resources, Limitada",,,,Vice-President,Supreme Court
Concessão Mineira,,"Tazetta Resources, Limitada ",41678,"Tazetta Resources, Limitada",,,,,
Licença de Prospecção e Pesquisa,1418L,"Sistemas de Energias de Moçambique, Limitada ",51341,"Sistemas de Energias de Moçambique, Limitada",Marina Pachinuapa,Marina,Pachinuapa,___,National Consul of Defense and Safety
Licença de Prospecção e Pesquisa,1418L,"Sistemas de Energias de Moçambique, Limitada ",51341,"Sistemas de Energias de Moçambique, Limitada",Marina Pachinuapa,Marina,Pachinuapa,member,Central Committee
Licença de Prospecção e Pesquisa,1500L,"Essar - Recursos Minerais de Moçambique, Limitada",45249,"Essar Recursos Minerais de Moçambique, Limitada",,,....,Embassada,Indonésia Embassy
Licença de Prospecção e Pesquisa,1500L,"Essar - Recursos Minerais de Moçambique, Limitada",45249,"Essar Recursos Minerais de Moçambique, Limitada",,,,Vice-President,Supreme Court
Licença de Prospecção e Pesquisa,1500L,"Essar - Recursos Minerais de Moçambique, Limitada",45249,"Essar Recursos Minerais de Moçambique, Limitada",,,,,
Licença de Prospecção e Pesquisa,1506L,"Essar - Recursos Minerais de Moçambique, Limitada",45249,"Essar Recursos Minerais de Moçambique, Limitada",,,....,Embassada,Indonésia Embassy
Licença de Prospecção e Pesquisa,1506L,"Essar - Recursos Minerais de Moçambique, Limitada",45249,"Essar Recursos Minerais de Moçambique, Limitada",,,,Vice-President,Supreme Court
Licença de Prospecção e Pesquisa,1506L,"Essar - Recursos Minerais de Moçambique, Limitada",45249,"Essar Recursos Minerais de Moçambique, Limitada",,,,,
Licença de Prospecção e Pesquisa,1638L,"Mota Mineral Moçambique, Lda ",58108,"Mota Mineral Moçambique, Limitada",,,....,Embassada,Indonésia Embassy
